Make_ID,Make_Name
475,ACURA
493,ALFA ROMEO
440,ASTON MARTIN
582,AUDI
583,BENTLEY
452,BMW
468,BUICK
469,CADILLAC
467,CHEVROLET
477,CHRYSLER
476,DODGE
603,FERRARI
492,FIAT
460,FORD
5083,GENESIS
472,GMC
474,HONDA
498,HYUNDAI
480,INFINITI
442,JAGUAR
483,JEEP
499,KIA
502,LAMBORGHINI
444,LAND ROVER
515,LEXUS
464,LINCOLN
10919,LUCID
443,MASERATI
473,MAZDA
449,MERCEDES-BENZ
456,MINI
481,MITSUBISHI
478,NISSAN
10224,POLESTAR
584,PORSCHE
496,RAM
10887,RIVIAN
445,ROLLS-ROYCE
523,SUBARU
441,TESLA
448,TOYOTA
482,VOLKSWAGEN
485,VOLVO
